Godzilla_vs_Doge William_Halsey Action Cineplex
Back_to_The_Past George_Best Sci-fi GCV
Train_to_Gerlong Gerand_Ford Horror XXII
How_To_Train_Your_Kitty William_Halsey Comedy GCV
Interstellar Christopher_Nolan Science_Fiction XXIII
Avengers Kevin_Anggara Documenter GGC
The_Social_Network Joko_Anwar Comedy XV
John_Wick Muhammad_Aceng Romance XV
Harry_Potter Raditya_Dika Drama GVS
Parasite Kevin_Anggara Fantasy Netplex
The_Imitation_Game Joko_Anwar Romance GGC
Tenet Christopher_Nolan Science_Fiction Netplex
narnia Christopher_Nolan Action GGC
#### #### #### ####
